# INA219 monitor ready | sda=41 scl=42 sample_period_ms=100 calibration=16V_400mA
elapsed_ms	bus_voltage_V	shunt_voltage_mV	load_voltage_V	current_mA	power_mW
16082	5.0760	-0.9400	5.0751	9.4000	48.0000
16185	5.0760	-0.9400	5.0751	9.5000	48.0000
16288	5.0760	-0.9400	5.0751	9.4000	48.0000
16391	5.0800	-0.9500	5.0791	9.4000	48.0000
16494	5.0760	-0.9400	5.0751	9.4000	48.0000
16597	5.0800	-0.9400	5.0791	9.4000	48.0000
16700	5.0760	-0.9400	5.0751	9.4000	48.0000
16803	5.0760	-0.9400	5.0751	9.4000	48.0000
16906	5.0760	-0.9400	5.0751	9.4000	48.0000
17009	5.0760	-0.9500	5.0751	9.4000	48.0000
17112	5.0760	-0.9400	5.0751	9.4000	48.0000
17215	5.0760	-0.9400	5.0751	9.4000	48.0000
17318	5.0760	-0.9400	5.0751	9.5000	48.0000
17421	5.0760	-0.9400	5.0751	9.4000	48.0000
17524	5.0800	-0.9500	5.0791	9.4000	48.0000
17627	5.0760	-0.9400	5.0751	9.4000	48.0000
17730	5.0760	-0.9500	5.0751	9.4000	48.0000
17833	5.0760	-0.9400	5.0751	9.4000	48.0000
17936	5.0760	-0.9400	5.0751	9.5000	48.0000
18039	5.0760	-0.9500	5.0751	9.4000	48.0000
18142	5.0760	-0.9400	5.0751	9.5000	48.0000
18245	5.0760	-0.9400	5.0751	9.4000	48.0000
18348	5.0760	-0.9400	5.0751	9.5000	48.0000
18451	5.0760	-0.9500	5.0751	9.4000	48.0000
18554	5.0760	-0.9400	5.0751	9.3000	48.0000
18657	5.0800	-0.9400	5.0791	9.5000	48.0000
18760	5.0760	-0.9400	5.0751	9.5000	48.0000
18863	5.0760	-0.9500	5.0751	9.4000	48.0000
18966	5.0760	-0.9400	5.0751	9.5000	48.0000
19069	5.0800	-0.9400	5.0791	9.4000	48.0000
19172	5.0760	-0.9400	5.0751	9.4000	48.0000
19275	5.0760	-0.9400	5.0751	9.4000	48.0000
19378	5.0760	-0.9400	5.0751	9.4000	48.0000
19481	5.0760	-0.9400	5.0751	9.4000	48.0000
19584	5.0680	-2.5600	5.0654	25.2000	128.0000
19687	5.0480	-6.0600	5.0419	60.9000	308.0000
19790	5.0480	-6.0700	5.0419	60.1000	303.0000
19893	5.0480	-5.9300	5.0421	59.1000	298.0000
19996	5.0560	-5.0000	5.0510	49.7000	251.0000
20099	5.0520	-5.4300	5.0466	51.9000	265.0000
20202	5.0200	-19.1900	5.0008	115.1000	577.0000
20305	5.0120	-11.5500	5.0005	125.8000	590.0000
20408	5.0240	-10.3500	5.0136	104.8000	526.0000
20511	5.0240	-10.5000	5.0135	104.5000	524.0000
20614	5.0240	-10.7700	5.0132	116.4000	585.0000
20717	5.0240	-10.4200	5.0136	104.3000	518.0000
20820	5.0200	-11.6300	5.0084	102.9000	518.0000
20923	5.0240	-10.4100	5.0136	103.7000	554.0000
21026	5.0240	-11.3600	5.0126	103.4000	519.0000
21129	5.0240	-11.3100	5.0127	109.7000	551.0000
21232	5.0200	-11.0800	5.0089	104.7000	526.0000
21335	5.0280	-10.2300	5.0178	103.2000	518.0000
21438	5.0200	-10.4900	5.0095	103.4000	518.0000
21541	5.0240	-10.3100	5.0137	103.2000	518.0000
21644	5.0200	-10.4100	5.0096	116.6000	572.0000
21747	5.0240	-10.4100	5.0136	104.6000	526.0000
21850	5.0240	-10.4000	5.0136	104.2000	526.0000
21953	5.0240	-10.5500	5.0135	103.4000	519.0000
22056	5.0200	-11.3300	5.0087	109.7000	580.0000
22159	5.0240	-10.4300	5.0136	102.9000	518.0000
22262	5.0240	-10.3700	5.0136	111.3000	555.0000
22365	5.0240	-10.3600	5.0136	105.4000	529.0000
22468	5.0160	-10.3900	5.0056	104.7000	528.0000
22571	5.0200	-10.5300	5.0095	104.3000	524.0000
22674	5.0240	-10.3600	5.0136	103.7000	518.0000
22777	5.0240	-10.3100	5.0137	110.1000	552.0000
22880	5.0240	-10.3200	5.0137	104.2000	523.0000
22983	5.0200	-10.3700	5.0096	108.8000	546.0000
23086	5.0200	-11.6100	5.0084	104.9000	528.0000
23189	5.0200	-10.4200	5.0096	104.2000	609.0000
23292	5.0200	-10.6200	5.0094	121.0000	608.0000
23395	5.0200	-10.3700	5.0096	103.9000	518.0000
23498	5.0240	-10.3600	5.0136	103.7000	521.0000
